Time,J0_pos,J1_pos,J2_pos,J3_pos,J4_pos,J0_vel,J1_vel,J2_vel,J3_vel,J4_vel,J0_acc,J1_acc,J2_acc,J3_acc,J4_acc
9.323821783065796,4.812344108951466,2.30607220543672,1.4924298682240185,4.485831561060162,1.868355125357968,0.0,0.0,0.0,0.00027099997467882226,-9.486769009248164e-20,0.0,0.0,0.0,0.00029942820517042077,0.0008522880110828941
9.324073791503906,4.813316846921282,2.305745059346059,1.490765671306491,4.486199838807397,1.8676658389769831,0.0,0.0,0.0,0.00027260605809555235,2.0269912243490623e-20,0.0,0.0,0.0,0.00030140070565404286,0.0008505651866557357
9.32425045967102,4.814289416107197,2.3054175977301594,1.4891003757449335,4.486566391320868,1.8669808689357015,0.0,0.0,0.0,0.00027420795646220105,1.6940658945086007e-19,0.0,0.0,0.0,0.00030337124420285323,0.0008488342081258875
9.324401617050171,4.815261816793971,2.3050898197959775,1.487433979584132,4.4869312189754496,1.8663002267175388,0.0,0.0,0.0,0.00027580565263859275,-6.030285799544468e-19,0.0,0.0,0.0,0.0003053397997005635,0.0008470950690980406
9.324573516845703,4.816234049268117,2.304761724747307,1.4857664808742532,4.4872943221443755,1.8656239238441785,0.0,0.0,0.0,0.0002773991294749167,-1.3756403848315952e-18,0.0,0.0,0.0,0.0003073063509702151,0.0008453477626311117
9.339293718338013,4.817206113817909,2.304433311784774,1.4840978776709024,4.487655701199446,1.8649519718756862,0.0,0.0,0.0,0.00027898836981063164,2.4400436729984993e-19,0.0,0.0,0.0,0.00030927087677295675,0.0008435922812395386
9.339528322219849,4.818178010733381,2.304104580105832,1.4824281680351812,4.488015356511238,1.864284382410623,0.0,0.0,0.0,0.0002805733564735955,-2.2355781958452193e-19,0.0,0.0,0.0,0.0003112333558063582,0.0008418286168944506
9.339706182479858,4.819149740306333,2.3037755289047586,1.4807573500337465,4.488373288449314,1.8636211670861593,0.0,0.0,0.0,0.0002821540722788049,-3.592008481264365e-19,0.0,0.0,0.0,0.00031319376670315666,0.0008400567610249877
9.33986496925354,4.820121302830336,2.3034461573726497,1.479085421738869,4.4887294973824305,1.8629623375781876,0.0,0.0,0.0,0.00028373050002738326,3.049318610115481e-19,0.0,0.0,0.0,0.00031515208802985654,0.0008382767045195124
9.340016841888428,4.821092698600734,2.303116464697415,1.4774123812284914,4.489083983678749,1.8623079056014347,0.0,0.0,0.0,0.00028530262250567204,4.811147140404426e-19,0.0,0.0,0.0,0.00031710829828517,0.0008364884377267759
9.3401620388031,4.822063927914649,2.302786450063773,1.4757382265862884,4.489436747706045,1.8616578829095745,0.0,0.0,0.0,0.0002868704224840481,1.3546639307007682e-19,0.0,0.0,0.0,0.00031906237589870436,0.0008346919504571848
9.340305089950562,4.823034991070986,2.302456112653247,1.4740629559017253,4.489787789831919,1.861012281295339,0.0,0.0,0.0,0.00028843388271587825,-1.477343216992725e-18,0.0,0.0,0.0,0.0003210142992294658,0.000832887231983906
9.340447187423706,4.824005888370437,2.3021254516441583,1.472386567270118,4.490137110424004,1.86037111259063,0.0,0.0,0.0,0.0002899929859365494,-2.71109421611991e-19,0.0,0.0,0.0,0.0003229640465645009,0.0008310742710441485
9.356034278869629,4.824976620115486,2.3017944662116223,1.4707090587926925,4.490484709850179,1.85973438866663,0.0,0.0,0.0,0.00029154771486242134,8.944667923005412e-19,0.0,0.0,0.0,0.00032491159611734244,0.0008292530558402157
9.356265306472778,4.82594718661041,2.3014631555275433,1.4690304285766451,4.49083058847878,1.8591021214339123,0.0,0.0,0.0,0.0002930980521898078,-1.7889335846010823e-18,0.0,0.0,0.0,0.0003268569260266893,0.0008274235740407315
9.356441974639893,4.82691758816129,2.3011315187606085,1.467350674735203,4.491174746678808,1.858474322842551,0.0,0.0,0.0,0.00029464398059383647,-2.7046175821525603e-20,0.0,0.0,0.0,0.00032880001435487945,0.0008255858127817421
9.356602191925049,4.827887825076012,2.300799555076284,1.4656697953876838,4.491517184820142,1.8578510048822312,0.0,0.0,0.0,0.0002961854827275772,4.404571325722362e-19,0.0,0.0,0.0,0.00033074083908645065,0.0008237397586678322
9.356791257858276,4.828857897664274,2.300467263636808,1.4639877886595578,4.491857903273752,1.8572321795823576,0.0,0.0,0.0,0.0002977225412209146,2.778268066994105e-19,0.0,0.0,0.0,0.00033267937812680196,0.00082188539777332
9.356950759887695,4.829827806237587,2.3001346436011865,1.4623046526825076,4.492196902411908,1.8566178590121638,0.0,0.0,0.0,0.00029925513867954474,1.1525535931719608e-19,0.0,0.0,0.0,0.0003346156093005724,0.000820022715643255
9.357097148895264,4.830797551109285,2.299801694125186,1.4606203855944904,4.4925341826083915,1.85600805528082,0.0,0.0,0.0,0.00030078325768401215,1.9989388770295383e-18,0.0,0.0,0.0,0.0003365495103502244,0.0008181516972945275
9.372729778289795,4.831767132594529,2.29946841436133,1.4589349855397984,4.492869744238713,1.8554027805375422,0.0,0.0,0.0,0.0003023068807886119,-2.1074179727686992e-18,0.0,0.0,0.0,0.00033848105893478106,0.0008162723272171043
9.372968196868896,4.832736551010312,2.299134803458892,1.457248450669122,4.493203587680319,1.8548020469716984,0.0,0.0,0.0,0.00030382599052042477,1.3146540126292846e-18,0.0,0.0,0.0,0.00034041023262802,0.0008143845893748656
9.373144149780273,4.8337058066754635,2.2988008605638885,1.4555607791396101,4.493535713312807,1.854205866812917,0.0,0.0,0.0,0.00030534056937839304,-1.9922214919421144e-18,0.0,0.0,0.0,0.00034233700891730706,0.0008124884672068584
9.373302459716797,4.834674899910659,2.2984665848190766,1.453871969114934,4.493866121518137,1.8536142523311936,0.0,0.0,0.0,0.00030685059983207665,1.6534083130403943e-18,0.0,0.0,0.0,0.00034426136520194345,0.0008105839436282388
9.373450994491577,4.8356438310384195,2.298131975363944,1.4521820187653487,4.494194812680847,1.853027215836996,0.0,0.0,0.0,0.00030835606432094665,9.688879346776933e-19,0.0,0.0,0.0,0.0003461832787917926,0.0008086710010314169
9.3735933303833,4.836612600383125,2.2977970313347056,1.4504909262677557,4.494521787188267,1.8524447696813724,0.0,0.0,0.0,0.0003098569452531245,-1.1452474231784268e-18,0.0,0.0,0.0,0.0003481027269058032,0.0008067496212870546
9.37373399734497,4.837581208271016,2.297461751864296,1.4487986898057668,4.494847045430729,1.8518669262560556,0.0,0.0,0.0,0.00031135322500457264,-1.0170283216112843e-19,0.0,0.0,0.0,0.00035001968667038155,0.0008048197857450195
9.373874187469482,4.838549655030199,2.2971261360823636,1.4471053075697664,4.495170587801786,1.8512936979935688,0.0,0.0,0.0,0.0003128448859180266,-9.013019343691866e-19,0.0,0.0,0.0,0.0003519341351181159,0.0008028814752355433
9.389495372772217,4.839517940990658,2.296790183115265,1.4454107777569754,4.49549241469842,1.8507250973673308,0.0,0.0,0.0,0.00031433191030195973,-5.55653613398821e-19,0.0,0.0,0.0,0.00035384604918613363,0.000800934670070147
9.389786720275879,4.840486066484253,2.2964538920860567,1.4437150985715148,4.495812526521265,1.8501611368917599,0.0,0.0,0.0,0.00031581428042969095,-1.3890751550064407e-18,0.0,0.0,0.0,0.0003557554057146737,0.0007989793500426667
9.38997220993042,4.8414540318447346,2.2961172621144903,1.4420182682244695,4.496130923674815,1.8496018291223788,0.0,0.0,0.0,0.0003172919785383617,-3.795296388605401e-19,0.0,0.0,0.0,0.0003576621814455477,0.0007970154944302732
9.39013147354126,4.842421837407745,2.295780292317005,1.4403202849339527,4.496447606567641,1.8490471866559182,0.0,0.0,0.0,0.00031876498682783746,1.6399146643749369e-18,0.0,0.0,0.0,0.00035956635302075983,0.0007950430819945034
9.390286445617676,4.843389483510828,2.2954429818067212,1.43862114692517,4.49676257561261,1.8484972221304201,0.0,0.0,0.0,0.0003202332874600057,1.856637341890815e-18,0.0,0.0,0.0,0.0003614678969807912,0.0007930620909821322
9.390433073043823,4.844356970493436,2.295105329693433,1.4369208524304844,4.497075831227097,1.847951948225341,0.0,0.0,0.0,0.0003216968625574466,4.33739747484814e-19,0.0,0.0,0.0,0.00036336678976334376,0.0007910724991263148
9.390577554702759,4.8453242986969345,2.294767335083602,1.435219399689481,4.497387373833199,1.847411377661655,0.0,0.0,0.0,0.0003231556942028131,-1.192681268224666e-18,0.0,0.0,0.0,0.00036526300770155717,0.0007890742836474188
9.390719413757324,4.84629146846461,2.29442899708035,1.4335167869490324,4.497697203857958,1.8468755232019554,0.0,0.0,0.0,0.00032460976443749216,2.995167379981817e-18,0.0,0.0,0.0,0.0003671565270227458,0.0007870674212540986
9.40607476234436,4.847258480141681,2.294090314783452,1.4318130124633637,4.498005321733571,1.8463443976505576,0.0,0.0,0.0,0.00032605905526105947,-4.60844801796952e-19,0.0,0.0,0.0,0.0003690473238466878,0.0007850518881442148
9.406402111053467,4.848225334075299,2.293751287289328,1.4301080744941181,4.4983117278976135,1.8458180138536004,0.0,0.0,0.0,0.0003275035486298665,6.370276548258474e-19,0.0,0.0,0.0,0.0003709353741842642,0.0007830276600058414
